source_id,designation,ra,dec,l,b,ecl_lon,ecl_lat,parallax,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ra_error,dec_error,parallax_error,pmra_error,pmdec_error,ruwe,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_gof_al,astrometric_matched_transits,astrometric_n_bad_obs_al,astrometric_n_good_obs_al,astrometric_n_obs_ac,astrometric_n_obs_al,astrometric_params_solved,astrometric_primary_flag,astrometric_sigma5d_max,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,bp_g,bp_rp,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_quasar,classprob_dsc_combmod_star,dec_parallax_corr,dec_pmdec_corr,dec_pmra_corr,dec_pseudocolour_corr,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,duplicated_source,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,g_rp,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,has_rvs,has_xp_continuous,has_xp_sampled,in_andromeda_survey,in_galaxy_candidates,in_qso_candidates,ipd_frac_multi_peak,ipd_frac_odd_win,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,libname_gspphot,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,matched_transits,matched_transits_removed,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,new_matched_transits,non_single_star,nu_eff_used_in_astrometry,parallax_over_error,parallax_pmdec_corr,parallax_pmra_corr,parallax_pseudocolour_corr,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_n_blended_transits,phot_bp_n_contaminated_transits,phot_bp_n_obs,phot_bp_rp_excess_factor,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_n_obs,phot_proc_mode,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_obs,phot_variable_flag,pm,pmdec_pseudocolour_corr,pmra_pmdec_corr,pmra_pseudocolour_corr,pseudocolour,pseudocolour_error,ra_dec_corr,radial_velocity,radial_velocity_error,random_index,ra_parallax_corr,ra_pmdec_corr,ra_pmra_corr,ra_pseudocolour_corr,ref_epoch,rv_amplitude_robust,rv_atm_param_origin,rv_chisq_pvalue,rv_expected_sig_to_noise,rv_method_used,rv_nb_deblended_transits,rv_nb_transits,rv_renormalised_gof,rvs_spec_sig_to_noise,rv_template_fe_h,rv_template_logg,rv_template_teff,rv_time_duration,rv_visibility_periods_used,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,solution_id,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,vbroad,vbroad_error,vbroad_nb_transits,visibility_periods_used,source_id
6805468043786682880,Gaia DR3 6805468043786682880,312.1632785723471,-25.204036266663056,20.2835547264925,-36.03671150327927,307.73856576805673,-7.118821889577583,0.19506765525662784,-9.235846798751865,-18.484152206471553,14.569921,14.554312,14.605789,0.037357487,0.017034104,0.043997735,0.03774962,0.029912865,1.1599064,0.1281,0.1238,0.132,664.33356,0.16469806,9.652426,4.1913075,42,0,362,0,362,31,0,0.06195504,0.1312,0.1268,0.1352,-0.015608788,-0.051477432,5.946108E-13,1.02273116E-13,0.9999786,0.25103536,-0.18894337,-0.35514024,,10190.476,9802.451,10530.362,0,0.0685,0.0661,0.0706,-0.035868645,,,,0,0,1,1,0,1,1,0,0,0,0,0,0.05528264,56.09096,A,3.7759,3.7573,3.7961,50,0,-0.4086,-0.687,-0.2661,9,0,1.7669357,4.433584,-0.54346675,-0.42210457,,20591.69360802395,15.599344,1320.0359,1,0,44,1.1429746,27988.423961744076,14.891207,1879.527,371,0,11398.362923133034,13.552488,841.05316,1,0,41,NOT_AVAILABLE,20.663126,,0.33971232,,,,0.2837311,,,561198228,0.55382764,-0.5688193,-0.13102873,,2016.0,,,,,,,,,,,,,,,-19.040894,-11.953204,-11.387852,26.037548,0.39924443,0.5521074,0.10668902,0.18828762,1636148068921376768,11656.045,11619.066,11705.69,,,,18,6805468043786682880
3611126283918723328,Gaia DR3 3611126283918723328,200.14989698190055,-12.055653623838522,314.1066182189566,50.18230094280794,203.12975224397812,-3.3034229760406446,0.14171042161526454,-2.346503253002979,-20.462839370689277,15.013212,15.022641,15.004434,0.028569497,0.018388035,0.03163669,0.0417663,0.020297704,0.99145406,0.0705,0.0661,0.0747,351.72836,0.06972405,1.2035779,-0.18122664,34,0,302,0,302,31,0,0.058376037,0.0733,0.0688,0.0778,0.009428978,0.01820755,3.104753E-11,1.04552475E-13,0.9997535,-0.066318475,-0.34827456,-0.2007141,,4707.6675,4676.746,4758.734,0,0.0374,0.0351,0.0397,0.008778572,,,,0,0,1,1,0,1,0,0,0,0,1,0,0.06652815,25.247833,A,4.2279,4.2194,4.2354,40,0,-0.7611,-0.7871,-0.7152,23,0,1.7434274,4.4793067,0.2827869,0.076302625,,13377.051451416619,22.983252,582.0348,0,0,38,1.143298,18606.385447022418,10.8181715,1719.9197,330,0,7895.593099954119,13.512095,584.3352,0,0,35,NOT_AVAILABLE,20.59694,,-0.24736968,,,,-0.18108991,,,686333472,-0.24858868,-0.20240283,0.029150758,,2016.0,,,,,,,,,,,,,,,-153.71078,14.055634,-39.644436,-9.235217,0.3798902,0.5384818,0.23279238,0.3163999,1636148068921376768,9785.289,9756.517,9815.213,,,,16,3611126283918723328
4359304016309188864,Gaia DR3 4359304016309188864,246.53822238591093,-0.9915332518017038,13.421077431251206,31.277342758720664,244.86326143004732,20.423706263841087,0.20083563559341505,-21.428355783364815,4.023830571462968,15.13309,15.135503,15.136569,0.03159582,0.01947582,0.04130917,0.046164844,0.03210065,1.10674,0.2673,0.2645,0.2697,481.76917,0.15080611,5.1663527,2.6971674,39,2,329,0,331,31,0,0.06563725,0.2742,0.2714,0.2766,0.002412796,-0.0010662079,1.8488435E-11,1.0762695E-13,0.99945414,-0.10513041,-0.17512105,-0.046123628,,8200.72,8008.7314,8530.978,0,0.143,0.1415,0.1443,-0.003479004,,,,0,0,1,1,0,1,0,0,0,0,0,0,0.008425717,107.247894,A,4.1109,4.081,4.1284,41,0,-0.7659,-0.7931,-0.7133,9,0,1.7560753,4.8617687,0.01802922,-0.3155468,,12056.34646471504,20.754581,580.9005,0,0,38,1.1431955,16661.37128586961,12.706409,1311.2572,335,0,6990.858191289657,12.705676,550.2154,1,0,38,NOT_AVAILABLE,21.802881,,0.19930118,,,,0.20498061,,,1112256927,-0.3550655,-0.08757655,-0.05573963,,2016.0,,,,,,,,,,,,,,,-174.50653,-9.670675,28.682665,-28.038126,0.42377985,0.4182797,0.12903893,0.62645817,1636148068921376768,12538.239,12492.879,12577.452,,,,17,4359304016309188864
6111007772314738176,Gaia DR3 6111007772314738176,212.13835197765852,-40.32147532062716,318.4914994651158,20.208825089947265,224.27713898537698,-25.616671944994224,0.09480876050136675,-20.141544963168133,-5.649297158632187,15.268207,15.288374,15.245286,0.029798837,0.029242123,0.034411564,0.040709898,0.03806442,1.0051126,0.2392,0.2352,0.2427,181.43474,0.040614434,0.23843876,0.12763718,18,1,159,0,160,31,0,0.05923167,0.2476,0.2434,0.2512,0.02016735,0.04308796,2.162034E-11,1.04851545E-13,0.9997219,-0.07941263,-0.25871962,0.0843788,,7719.615,7467.355,8061.9175,0,0.1277,0.1255,0.1296,0.022920609,,,,0,0,1,1,0,1,0,0,0,0,0,0,0.028806873,7.129688,A,4.0058,3.987,4.0261,25,0,-1.3619,-1.4464,-0.9913,9,0,1.7417221,2.7551425,0.17794934,-0.12519416,,10472.903895032372,28.919235,362.1432,0,0,23,1.141786,14711.74040066067,12.7674885,1152.2815,211,0,6324.7556960795655,17.532913,360.73615,0,0,23,NOT_AVAILABLE,20.918804,,-0.1393195,,,,-0.10310764,,,811747260,-0.20013957,0.034991995,-0.12837693,,2016.0,,,,,,,,,,,,,,,-120.0078,43.420284,-10.442027,-26.343204,0.27301607,0.11567292,0.075486615,0.8250096,1636148068921376768,10987.812,10933.393,11034.356,,,,13,6111007772314738176
6726087015162526976,Gaia DR3 6726087015162526976,272.4200313510231,-39.29217792023463,353.4258361278593,-9.436698587110277,271.9469438002768,-15.86925122190489,0.15954296730684048,-6.515872021661079,-21.959696056829202,15.510958,15.525885,15.491802,0.03415623,0.032061886,0.042375,0.043849573,0.032542013,1.0279824,0.2863,0.284,0.2887,364.29337,0.065882735,0.6364933,0.7116641,35,0,307,0,307,31,0,0.0648405,0.2949,0.2926,0.2974,0.01492691,0.034082413,1.5481819E-11,1.0439667E-13,0.99976856,-0.42625606,-0.714256,0.24155924,,7774.0728,7682.7656,7886.9224,0,0.153,0.1517,0.1543,0.019155502,,,,0,0,1,1,0,1,0,0,0,0,0,0,0.1150573,176.41982,A,4.1651,4.1524,4.1858,35,0,-1.3136,-1.4448,-1.0354,19,0,1.7452652,3.7650259,0.41900164,-0.31150913,,8415.169395221457,13.6775465,615.25433,1,0,34,1.1437418,11764.234985535535,8.009118,1468.8552,288,0,5040.078116795709,9.629876,523.37933,0,0,31,NOT_AVAILABLE,22.906,,-0.04467741,,,,-0.059478253,,,684132941,0.1165129,0.16013758,-0.361723,,2016.0,,,,,,,,,,,,,,,-167.22287,-10.754935,-53.21182,-41.411396,0.3604327,0.36231723,0.13903981,0.5778173,1636148068921376768,12008.395,11965.62,12049.733,,,,16,6726087015162526976
6757488689260784896,Gaia DR3 6757488689260784896,286.2952990931771,-31.08840010238513,5.900372172263601,-16.327560873583966,284.0588973760702,-8.440971639388295,0.19270881073424048,-3.282977050454773,-20.415432038894878,15.714239,15.725489,15.6912985,0.042695172,0.04757405,0.05864488,0.051316004,0.041763693,1.1247861,0.2843,0.2762,0.2905,272.64993,0.15757728,2.2073178,2.43724,23,0,198,5,198,31,0,0.0719363,0.2933,0.2851,0.2995,0.011249542,0.034190178,9.694892E-12,1.0471877E-13,0.9997352,-0.61779195,-0.1489844,-0.033812724,,7790.1406,7372.5845,8075.317,0,0.1517,0.1473,0.155,0.022940636,,,,0,0,1,1,0,0,0,0,0,0,0,0,0.07815043,173.1307,A,4.307,4.2865,4.3325,24,0,-0.1297,-0.2564,-0.0405,6,0,1.7440996,3.2860296,0.13758291,-0.2040636,,7001.990499267566,17.787134,393.6548,1,0,19,1.1476653,9755.535393592605,8.795834,1109.1086,186,0,4194.0985220171415,9.8353195,426.43237,0,0,19,NOT_AVAILABLE,20.677713,,0.033205766,,,,0.28721282,,,1441372183,-0.13327014,-0.23653673,0.09153724,,2016.0,,,,,,,,,,,,,,,,,,,,,,,1636148068921376768,11495.17,11428.686,11562.258,,,,14,6757488689260784896
4083799701282924032,Gaia DR3 4083799701282924032,288.91070830307467,-19.832231710015662,17.585420256908144,-14.061087599877707,287.76724832668424,2.4482242627408146,0.10632985250948655,-9.315085926412399,-18.96992396511268,15.762062,15.758983,15.746127,0.03384693,0.032468442,0.038996384,0.041129164,0.03636552,1.0406125,0.3266,0.323,0.3299,307.62253,0.111743845,1.3650515,0.9353806,30,0,257,0,257,31,0,0.06166426,0.3346,0.3309,0.338,-0.0030794144,0.01285553,1.8535559E-11,1.06801354E-13,0.9995371,-0.3952469,-0.3220073,-0.09846212,,9470.803,9316.117,10192.489,0,0.1749,0.173,0.1767,0.015934944,,,,0,0,1,1,0,1,0,0,0,0,0,0,0.12777361,83.02502,A,4.2842,4.2305,4.2997,30,0,-0.5383,-0.5771,-0.479,11,0,1.7533091,2.7266593,0.16182365,-0.15527135,,6789.27940112295,17.85951,380.14923,0,0,29,1.1544348,9335.165377182233,7.449784,1253.0787,255,0,3987.5608092756197,12.881937,309.5467,0,0,26,NOT_AVAILABLE,21.133595,,0.23031951,,,,0.18619767,,,1686227545,5.1807024E-4,-0.16972788,-0.2164546,,2016.0,,,,,,,,,,,,,,,-110.63329,-14.586479,-37.73363,36.76399,0.28712165,0.18610671,0.46634042,0.8854029,1636148068921376768,13260.431,13205.496,13303.334,,,,17,4083799701282924032
3928326210186248832,Gaia DR3 3928326210186248832,190.02587786637216,11.538288415720812,292.6949179627454,74.18432873946333,184.55909619255658,14.558484007344157,0.15107459445992574,-9.494209989304863,-18.015033794773466,15.971692,15.840063,16.236351,0.052910075,0.050463103,0.062908016,0.07712179,0.08161735,1.121004,5.0E-4,1.0E-4,0.0015,404.22498,0.30965695,7.6566324,2.4876263,25,2,219,0,221,31,0,0.1300368,5.0E-4,1.0E-4,0.0015,-0.13162899,-0.39628792,2.0471276E-7,5.0943083E-10,4.993323E-5,0.025755262,0.38071612,-0.19250679,,32976.258,32898.938,33010.777,0,3.0E-4,0.0,8.0E-4,-0.26465893,,,,0,0,1,1,0,1,0,0,0,0,0,0,0.006488512,133.17706,OB,4.2597,4.2581,4.2603,33,0,0.0016,3.0E-4,0.0054,6,0,1.8585614,2.4015157,-0.0027099403,-0.0148468055,,6300.743372227579,23.71007,265.74124,3,0,31,1.1485686,7696.084032961052,5.210061,1477.1581,269,0,2538.7376549132073,13.003092,195.24107,2,0,31,NOT_AVAILABLE,20.36373,,-0.3566582,,,,-0.38804913,,,543077521,-0.23668793,-0.20164317,0.10200896,,2016.0,,,,,,,,,,,,,,,-146.73537,39.117863,-8.955597,-20.947159,0.3256871,0.3570965,0.12855227,0.5819992,1636148068921376768,22482.164,22431.174,22503.28,,,,13,3928326210186248832
6513109241989477504,Gaia DR3 6513109241989477504,343.7153533738027,-51.195607570733266,337.4360027878579,-57.400539873586986,321.92643437127003,-40.172147300866044,0.035078466980249974,35.406075861113024,0.5347607520615087,16.005001,16.010021,16.01999,0.021085208,0.033411752,0.040171824,0.029201277,0.03823477,1.0945053,4.0E-4,1.0E-4,0.0011,649.44666,0.13406925,2.1472743,2.9497576,57,3,500,18,503,31,0,0.05487875,4.0E-4,1.0E-4,0.0011,0.0050201416,-0.009969711,8.7533263E-13,1.03106813E-13,0.99989814,-0.08557829,-0.32692686,0.020781543,,7717.1406,7608.746,7841.9224,0,2.0E-4,0.0,6.0E-4,-0.014989853,,,,0,0,1,1,0,1,0,0,0,0,0,0,0.02559642,137.10104,A,4.2006,4.1884,4.2159,59,0,-0.8058,-0.9025,-0.7052,22,0,1.7462736,0.8732107,-0.17158835,-0.18520166,,5387.762913427003,15.110579,356.5557,2,0,52,1.1370351,7463.564640021559,4.4355927,1682.6533,495,0,3098.5718729527143,10.012345,309.47513,1,0,48,NOT_AVAILABLE,35.410114,,0.06715057,,,,0.16027647,,,21421421,-0.061587386,-0.03182513,0.053278603,,2016.0,,,,,,,,,,,,,,,,,,,,,,,1636148068921376768,9644.853,9633.719,9653.848,,,,23,6513109241989477504
6753874560165966848,Gaia DR3 6753874560165966848,299.944143125003,-27.631033069171092,13.782303624825168,-26.303094112671506,296.4524251051689,-6.900022915913984,0.23649049495616137,-24.82968372533563,-19.554299645923017,16.151516,16.034674,16.356592,0.04791784,0.036505174,0.057372566,0.05631489,0.03829018,1.031621,0.1275,0.1245,0.1308,398.75293,0.21370943,3.5941365,0.7609743,32,2,276,0,278,31,0,0.08211002,0.1252,0.1222,0.1285,-0.11684227,-0.3219185,5.8682286E-9,5.0943055E-10,4.9933235E-5,-0.2704716,0.22214648,-0.031221788,,25645.004,25558.82,25751.63,0,0.0689,0.0673,0.0707,-0.20507622,,,,0,0,1,1,0,1,0,0,0,0,0,0,0.0122372005,87.47851,OB,4.4833,4.4805,4.4853,32,0,-0.9951,-0.9987,-0.9873,10,0,1.8494471,4.1220136,-0.22375257,-0.30988365,,5266.802750257061,15.197321,346.56125,3,1,30,1.1561027,6521.38795645552,5.3190155,1226.0516,269,0,2272.5909079203534,13.092619,173.57802,2,0,29,NOT_AVAILABLE,31.605124,,0.1956404,,,,0.1903919,,,1708808784,0.19534136,-0.11320722,-0.26358044,,2016.0,,,,,,,,,,,,,,,-60.881844,-18.487238,-36.10457,31.075031,0.20161559,0.3761919,0.26079053,0.4959024,1636148068921376768,24520.307,24496.87,24536.008,,,,19,6753874560165966848
